Customer ID,Email,Created (UTC),Plan Name,Monthly Recurring Revenue,Login Count (30d),Status
cus_00000,user0@acme.io,2025-05-11,Business,52.61,0,active
cus_00001,user1@acme.io,2023-08-19,Growth,55.02,7,active
cus_00002,user2@acme.io,2023-12-28,Growth,51.83,8,active
cus_00003,user3@acme.io,2024-03-10,Starter,61.23,0,active
cus_00004,user4@acme.io,2023-08-10,Starter,39.13,7,active
cus_00005,user5@acme.io,2024-12-02,Starter,54.52,4,active
cus_00006,user6@acme.io,2023-06-11,Starter,20.05,4,active
cus_00007,user7@acme.io,2024-09-15,Growth,43.65,6,active
cus_00008,user8@acme.io,2023-03-13,Growth,73.11,6,active
cus_00009,user9@acme.io,2024-09-28,Business,49.34,7,active
cus_00010,user10@acme.io,2024-08-25,Growth,41.39,3,active
cus_00011,user11@acme.io,2024-07-28,Starter,44.86,8,active
cus_00012,user12@acme.io,2024-09-21,Starter,64.03,6,active
cus_00013,user13@acme.io,2023-08-05,Starter,37.25,5,active
cus_00014,user14@acme.io,2025-01-20,Starter,82.17,0,active
cus_00015,user15@acme.io,2025-04-15,Business,52.62,4,active
cus_00016,user16@acme.io,2023-05-02,Growth,58.62,5,active
cus_00017,user17@acme.io,2024-08-11,Starter,90.52,1,active
cus_00018,user18@acme.io,2024-12-31,Starter,88.14,5,active
cus_00019,user19@acme.io,2023-08-14,Starter,42.41,4,active
cus_00020,user20@acme.io,2023-10-07,Starter,39.69,6,active
cus_00021,user21@acme.io,2023-09-11,Starter,45.87,4,active
cus_00022,user22@acme.io,2023-09-29,Starter,54.82,7,active
cus_00023,user23@acme.io,2024-01-24,Business,72.88,0,active
cus_00024,user24@acme.io,2023-03-11,Starter,37.74,7,active
cus_00025,user25@acme.io,2025-03-11,Starter,52.12,1,active
cus_00026,user26@acme.io,2023-08-31,Starter,28.81,3,active
cus_00027,user27@acme.io,2024-08-23,Starter,77.45,4,active
cus_00028,user28@acme.io,2023-11-24,Starter,73.96,7,active
cus_00029,user29@acme.io,2023-06-06,Starter,10.15,6,active
cus_00030,user30@acme.io,2024-06-04,Business,55.38,5,active
cus_00031,user31@acme.io,2023-03-05,Starter,47.33,0,active
cus_00032,user32@acme.io,2025-01-06,Growth,54.61,7,active
cus_00033,user33@acme.io,2023-10-26,Starter,56.19,5,active
cus_00034,user34@acme.io,2025-03-01,Growth,51.18,5,active
cus_00035,user35@acme.io,2025-02-13,Growth,60.21,1,active
cus_00036,user36@acme.io,2025-05-28,Starter,47.79,7,active
cus_00037,user37@acme.io,2023-05-30,Starter,75.26,2,active
